s,l,m,a,Re_omega,Im_omega,r,Re_Rin,Im_Rin
-2,2,2,0.,0.3,0,6.,204.40450944668225,156.69373605851277
-2,2,2,0.,0.3,0,10.,-129.59365743892732,1631.9866433534573
-2,2,2,0.,0.3,0,20.,356.2919603257865,-14000.462114066313
-2,2,2,0.,0.5,0,6.,21.905159379753727,46.61910700671675
-2,2,2,0.,0.5,0,10.,-228.11260467038676,-105.19398188582731
-2,2,1,0.,0.3,0,6.,204.40450944668225,156.69373605851277
-2,3,3,0.,0.3,0,6.,1051.7908288501967,995.8205635458854
-2,2,2,0.,0.3,-0.1,6.,124.51654292343542,326.3374714700178
-2,2,2,0.,0.3,-0.1,10.,-2901.18666540021,2468.4150523280045
-2,2,2,0.,0.5,0.2,6.,33.228184735064325,-67.38692884828669
-2,2,2,0.,0.1,-0.3,6.,1660.34415620042,1654.361196346763
-2,2,2,0.5,0.3,0,6.,122.75217786856618,286.9770557695142
-2,2,2,0.5,0.3,0,10.,-1324.1893945351935,1610.3925425021343
-2,2,2,0.9,0.3,0,6.,241.52155980666913,391.54492534606425
-2,2,2,0.9,0.5,0,6.,-116.12138655517178,53.08180821164722
-2,2,1,0.9,0.3,0,6.,68.18638149872356,295.2988566877586
-2,3,3,0.5,0.3,0,6.,1452.0996497705528,1782.7851792169677
-2,2,2,0.5,0.3,-0.1,6.,-41.74725199098155,500.5474141245387
-2,2,2,0.5,0.3,-0.1,10.,-5537.934447450675,1064.8472155308464
-2,2,2,0.9,0.3,-0.1,6.,227.7520535297062,988.4435334204342
-2,2,2,0.9,0.5,0.2,6.,26.22560032532631,8.284640067033202
-2,2,1,0.9,0.3,-0.2,6.,-1577.6437880579788,1086.3316338173174
-2,3,3,0.5,0.3,-0.1,6.,1344.5261401716896,3418.9970417310788
