# Green's function G_{lmω}(r,r') for Teukolsky equation
# s=-2, l=2, m=2, a=0.0, r'=10.0M, r=30.0M
# Columns: ω  Re[G]  Im[G]  |G|  Re[ν]  Im[ν]
-3.00000000e+00  -2.4914691903786230e+00  -1.8644703479164102e+00  3.1118593163678612e+00  +2.0000000000000009e+00  +5.5939000509184114e+00
-2.98000000e+00  -1.4294999242911224e+00  -2.7808895317433722e+00  3.1267901466692960e+00  +1.9999999999999991e+00  +5.5572752559012768e+00
-2.96000000e+00  -6.6748937755836235e-02  -3.1411290421100881e+00  3.1418381689512547e+00  +2.0000000000000000e+00  +5.5205595909349778e+00
-2.94000000e+00  +1.3228363718491483e+00  -2.8664909194361465e+00  3.1570027332735875e+00  +2.0000000000000004e+00  +5.4837565315036123e+00
-2.92000000e+00  +2.4571010475208039e+00  -2.0065030355721842e+00  3.1722862401568088e+00  +2.0000000000000009e+00  +5.4468693103993120e+00
-2.90000000e+00  +3.1029364632125289e+00  -7.3016151297000031e-01  3.1876873324961652e+00  +2.0000000000000000e+00  +5.4099009375732727e+00
-2.88000000e+00  +3.1241663329093967e+00  +7.0719035457810109e-01  3.2032067484464450e+00  +2.0000000000000004e+00  +5.3728542179014589e+00
-2.86000000e+00  +2.5102277194098304e+00  +2.0148779821530174e+00  3.2188470740714745e+00  +2.0000000000000000e+00  +5.3357317671171103e+00
-2.84000000e+00  +1.3796120546143698e+00  +2.9256377449446989e+00  3.2346074933262590e+00  +2.0000000000000000e+00  +5.2985360261270342e+00
-2.82000000e+00  -4.2887457781893609e-02  +3.2502061503659632e+00  3.2504890945689584e+00  +2.0000000000000004e+00  +5.2612692738989892e+00
-2.80000000e+00  -1.4707976936430107e+00  +2.9166297814858857e+00  3.2664927885847237e+00  +1.9999999999999991e+00  +5.2239336390821931e+00
-2.78000000e+00  -2.6135965965295944e+00  +1.9861266328014329e+00  3.2826187976848966e+00  +2.0000000000000000e+00  +5.1865311105016803e+00
-2.76000000e+00  -3.2357888216447726e+00  +6.4202392565079502e-01  3.2988670811945915e+00  +1.9999999999999996e+00  +5.1490635466489323e+00
-2.74000000e+00  -3.2054098729172047e+00  -8.4626368898689319e-01  3.3152397627762604e+00  +2.0000000000000009e+00  +5.1115326842755664e+00
-2.72000000e+00  -2.5219784671117864e+00  -2.1771758260503744e+00  3.3317367792359658e+00  +1.9999999999999993e+00  +5.0739401461835021e+00
-2.70000000e+00  -1.3179863197539128e+00  -3.0780524810090433e+00  3.3483570620386933e+00  +1.9999999999999998e+00  +5.0362874482933782e+00
-2.68000000e+00  +1.6666685153343583e-01  -3.3609739674458665e+00  3.3651038392966237e+00  +2.0000000000000000e+00  +4.9985760060631783e+00
-2.66000000e+00  +1.6323977321212502e+00  -2.9619311006098319e+00  3.3819754878760389e+00  +2.0000000000000000e+00  +4.9608071403201572e+00
-2.64000000e+00  +2.7803312074004642e+00  -1.9551943987608094e+00  3.3989743688045908e+00  +2.0000000000000000e+00  +4.9229820825618784e+00
-2.62000000e+00  +3.3732039078576141e+00  -5.3965721721399973e-01  3.4160993129704291e+00  +2.0000000000000000e+00  +4.8851019797754640e+00
-2.60000000e+00  +3.2843869968489536e+00  +1.0003549490382895e+00  3.4333522931875033e+00  +2.0000000000000000e+00  +4.8471678988185216e+00
-2.58000000e+00  +2.5248880914701979e+00  +2.3521248602119544e+00  3.4507319850250795e+00  +2.0000000000000000e+00  +4.8091808304002024e+00
-2.56000000e+00  +1.2425998131302673e+00  +3.2379988308079746e+00  3.4682402921229643e+00  +2.0000000000000000e+00  +4.7711416926963928e+00
-2.54000000e+00  -3.0637798279421291e-01  +3.4723867791802623e+00  3.4858768498853951e+00  +2.0000000000000004e+00  +4.7330513346292422e+00
-2.52000000e+00  -1.8088000301579861e+00  +3.0006255410308320e+00  3.5036425597634961e+00  +2.0000000000000004e+00  +4.6949105388377106e+00
-2.50000000e+00  -2.9575609114093875e+00  +1.9115585903239607e+00  3.5215369924136897e+00  +2.0000000000000000e+00  +4.6567200243628504e+00
-2.48000000e+00  -3.5144370274433716e+00  +4.2097873272040881e-01  3.5395608079630279e+00  +2.0000000000000000e+00  +4.6184804490687883e+00
-2.46000000e+00  -3.3594683626869069e+00  -1.1710264786236679e+00  3.5577142512478424e+00  +1.9999999999999993e+00  +4.5801924118179631e+00
-2.44000000e+00  -2.5167535384484072e+00  -2.5404152017378485e+00  3.5759974511335062e+00  +1.9999999999999998e+00  +4.5418564544170144e+00
-2.42000000e+00  -1.1511210380865158e+00  -3.4051000296918650e+00  3.5944103628457502e+00  +2.0000000000000000e+00  +4.5034730633477631e+00
-2.40000000e+00  +4.6398262324454870e-01  -3.5830369594809652e+00  3.6129536016505241e+00  +2.0000000000000004e+00  +4.4650426712959321e+00
-2.38000000e+00  +2.0011532203576756e+00  -3.0305282097690616e+00  3.6316271066223154e+00  +2.0000000000000000e+00  +4.4265656584887045e+00
-2.36000000e+00  +3.1453398876688770e+00  -1.8526948454155874e+00  3.6504302758976714e+00  +2.0000000000000004e+00  +4.3880423538506861e+00
-2.34000000e+00  +3.6583836872864395e+00  -2.8365419658739116e-01  3.6693638286009693e+00  +2.0000000000000000e+00  +4.3494730359865548e+00
-2.32000000e+00  +3.4285769463083762e+00  +1.3599107804640622e+00  3.6884274708308480e+00  +2.0000000000000000e+00  +4.3108579339973501e+00
-2.30000000e+00  +2.4949274272127169e+00  +2.7425879912726407e+00  3.7076207676798831e+00  +1.9999999999999996e+00  +4.2721972281362879e+00
-2.28000000e+00  +1.0408796746263951e+00  +3.5786423727699628e+00  3.7269440201370050e+00  +2.0000000000000000e+00  +4.2334910503088041e+00
-2.26000000e+00  -6.4159712158484983e-01  +3.6910486713587862e+00  3.7463965567949993e+00  +2.0000000000000000e+00  +4.1947394844205474e+00
-2.24000000e+00  -2.2105367428562848e+00  +3.0489537718539368e+00  3.7659781988774204e+00  +2.0000000000000000e+00  +4.1559425665760363e+00
-2.22000000e+00  -3.3434256282742103e+00  +1.7756535370459596e+00  3.7856888957526111e+00  +2.0000000000000000e+00  +4.1171002851297107e+00
-2.20000000e+00  -3.8034714563687522e+00  +1.2509452301295429e-01  3.8055280525966007e+00  +2.0000000000000000e+00  +4.0782125805902387e+00
-2.18000000e+00  -3.4890865359175294e+00  -1.5686563638078093e+00  3.8254944311599415e+00  +2.0000000000000000e+00  +4.0392793453779205e+00
-2.16000000e+00  -2.4562524549729896e+00  -2.9589485552915153e+00  3.8455887293654509e+00  +2.0000000000000000e+00  +4.0003004234342203e+00
-2.14000000e+00  -9.0884642280139560e-01  -3.7574565853938697e+00  3.8658093345842408e+00  +2.0000000000000000e+00  +3.9612756096814423e+00
